mode,metric,fun,threshold,stat,var1,var2,pearson,spearman
walk,bfca,gaussian,30,ac_median,abs,population,0.26240948538394804,0.21052631578947367
walk,bfca,gaussian,30,ac_median,abs,jobs,0.3395295770198941,0.4586466165413534
walk,bfca,gaussian,30,ac_median,abs,ratio,0.6834043453485232,0.7007518796992481
walk,bfca,gaussian,30,ac_median,rel,population,-0.5206207546538839,-0.7473684210526316
walk,bfca,gaussian,30,ac_median,rel,jobs,-0.4634962032704212,-0.6060150375939849
walk,bfca,gaussian,30,ac_median,rel,ratio,-0.04674785370092637,-0.05714285714285714
walk,gravity,gaussian,30,ac_median,abs,rel,0.032359236028299904,0.08872180451127819
walk,gravity,gaussian,30,ac_median,abs,population,0.6705355731692,0.5398496240601504
walk,gravity,gaussian,30,ac_median,abs,jobs,0.6895728629165359,0.5864661654135338
walk,gravity,gaussian,30,ac_median,abs,ratio,0.44328210594408035,0.38345864661654133
walk,gravity,gaussian,30,ac_median,rel,population,-0.510412681675033,-0.6240601503759399
walk,gravity,gaussian,30,ac_median,rel,jobs,-0.5082603308927439,-0.6902255639097744
walk,gravity,gaussian,30,ac_median,rel,ratio,-0.43804800167949626,-0.562406015037594
walk,bfca,gaussian,45,ac_median,abs,rel,0.3829860005986593,0.3037593984962406
walk,bfca,gaussian,45,ac_median,abs,population,0.2740414912692123,0.21052631578947367
walk,bfca,gaussian,45,ac_median,abs,jobs,0.351536626394951,0.4586466165413534
walk,bfca,gaussian,45,ac_median,abs,ratio,0.6866678067345997,0.7007518796992481
walk,bfca,gaussian,45,ac_median,rel,population,-0.5252309676515742,-0.7473684210526316
walk,bfca,gaussian,45,ac_median,rel,jobs,-0.4680561607966222,-0.6060150375939849
walk,bfca,gaussian,45,ac_median,rel,ratio,-0.05501850182529822,-0.05714285714285714
walk,bfca,gaussian,60,ac_median,abs,rel,0.3828854369903489,0.2947368421052632
walk,bfca,gaussian,60,ac_median,abs,population,0.2756400713227213,0.21052631578947367
walk,bfca,gaussian,60,ac_median,abs,jobs,0.35286353424192257,0.4586466165413534
walk,bfca,gaussian,60,ac_median,abs,ratio,0.6856597556595757,0.7007518796992481
walk,bfca,gaussian,60,ac_median,rel,population,-0.5264096206159986,-0.7533834586466165
walk,bfca,gaussian,60,ac_median,rel,jobs,-0.4689924801489095,-0.6135338345864662
walk,bfca,gaussian,60,ac_median,rel,ratio,-0.05358615440559106,-0.0661654135338346
walk,bfca,gaussian,30,wt_median,abs,rel,0.3055901211182388,0.24812030075187969
walk,bfca,gaussian,30,wt_median,abs,population,0.17129753341651796,0.2150375939849624
walk,bfca,gaussian,30,wt_median,abs,jobs,0.25689770595332995,0.4345864661654136
walk,bfca,gaussian,30,wt_median,abs,ratio,0.7134791747996343,0.7082706766917294
walk,bfca,gaussian,30,wt_median,rel,population,-0.563424344877401,-0.7624060150375941
walk,bfca,gaussian,30,wt_median,rel,jobs,-0.5187257463768092,-0.675187969924812
walk,bfca,gaussian,30,wt_median,rel,ratio,-0.23710528807440195,-0.11127819548872181
walk,bfca,binary,60,ac_median,abs,rel,0.3697027574540411,0.2962406015037594
walk,bfca,binary,60,ac_median,abs,population,0.2872994055066949,0.23909774436090225
walk,bfca,binary,60,ac_median,abs,jobs,0.3647023453496748,0.4857142857142857
walk,bfca,binary,60,ac_median,abs,ratio,0.6913090333846864,0.7082706766917294
walk,bfca,binary,60,ac_median,rel,population,-0.5334455185588838,-0.7473684210526316
walk,bfca,binary,60,ac_median,rel,jobs,-0.47497384873585896,-0.5984962406015037
walk,bfca,binary,60,ac_median,rel,ratio,-0.04828165132468548,-0.045112781954887216
walk,gravity,gaussian,15,wt_mean,abs,rel,-0.34187680375294105,-0.25263157894736843
walk,gravity,gaussian,15,wt_mean,abs,population,0.6906639200986768,0.6075187969924812
