city,mode,metric,jobs,fun,threshold,ac_mean,ac_median,wt_mean,wt_median
bel,walk,gravity,rel,gaussian,45,0.06521604692033693,0.026735088509008513,0.1256941508361565,0.0728917970375462
bel,walk,gravity,rel,gaussian,60,0.07736781179503484,0.03194173559530589,0.14970659449101487,0.0863126049395516
bel,walk,pfca,abs,binary,15,1.254938887931538,0.19924417697929897,1.5723756097319102,0.548017855235429
bel,walk,pfca,abs,binary,30,4.06901803408017,1.1015893531369854,6.724226278883019,3.49311091213244
bel,walk,pfca,abs,binary,45,8.333045549733317,2.9565334615371315,14.889052783199176,9.37801161928334
bel,walk,pfca,abs,binary,60,13.739233487672884,5.885408199137755,25.320546005089522,18.0327770471512
bel,walk,pfca,abs,gaussian,15,17.410187435932727,4.360112202146485,29.531440135353566,14.9858893551234
bel,walk,pfca,abs,gaussian,30,14.466246878513095,5.60252096568181,26.258077193813612,16.4286536328345
bel,walk,pfca,abs,gaussian,45,14.2763110719444,5.916685852508832,26.15858298422511,17.2672790811844
bel,walk,pfca,abs,gaussian,60,14.247914820241057,6.065082052898437,26.18352264849528,17.8749631388118
bel,walk,pfca,rel,binary,15,5.2783526024241144e-6,8.380336526266824e-7,6.613511599195424e-6,2.30499787692818e-6
bel,walk,pfca,rel,binary,30,1.7114548075642558e-5,4.6333547273502856e-6,2.8282522455680784e-5,1.46922461730393e-5
bel,walk,pfca,rel,binary,45,3.504931840629444e-5,1.2435367364047965e-5,6.262430088158744e-5,3.94445120095029e-5
bel,walk,pfca,rel,binary,60,5.7788087955823224e-5,2.475440037996633e-5,1.064998233667415e-4,7.58470046399241e-5
bel,walk,pfca,rel,gaussian,15,7.32283532249265e-5,1.833890861968137e-5,1.2421111130654451e-4,6.30316016484547e-5
bel,walk,pfca,rel,gaussian,30,6.0845952414756115e-5,2.356455872371972e-5,1.1044313904326192e-4,6.9099959759895e-5
bel,walk,pfca,rel,gaussian,45,6.004707035879572e-5,2.4885956174958916e-5,1.1002466008372217e-4,7.26272716157355e-5
bel,walk,pfca,rel,gaussian,60,5.9927633922074505e-5,2.5510120011181553e-5,1.1012955789434066e-4,7.51832293264066e-5
bho,walk,2sfca,abs,binary,15,19.50862447476781,1.4747311457145131,2.742525388988228,1.01544401544402
bho,walk,2sfca,abs,binary,30,85.28732449391485,7.262662330802372,12.247195115986807,5.33682514101531
bho,walk,2sfca,abs,binary,45,182.26486836785475,19.08300878098427,28.908557753311232,13.2527114967462
bho,walk,2sfca,abs,binary,60,336.2791529429912,36.72522522522522,52.19030849517236,25.4469548133595
bho,walk,2sfca,abs,gaussian,15,169506.7258231855,19580.147636166483,26245.957902012506,13146.2905489627
bho,walk,2sfca,abs,gaussian,30,1176.7472671883977,131.3708356661841,182.64022121139416,90.414719817432
bho,walk,2sfca,abs,gaussian,45,574.006705621443,63.896945018996384,89.13977733069206,44.4256174901046
bho,walk,2sfca,abs,gaussian,60,457.4481661999832,50.823671523724336,71.00352838799475,35.4570246136127
bho,walk,2sfca,rel,binary,15,2.5207937474180148e-5,1.9055638986992163e-6,3.5437356752846954e-6,1.31209913251189e-6
bho,walk,2sfca,rel,binary,30,1.1020344084040331e-4,9.38440012353196e-6,1.5825130527125717e-5,6.89594259397152e-6
bho,walk,2sfca,rel,binary,45,2.3551231976908722e-4,2.46579810274403e-5,3.7353997830893636e-5,1.71244017334699e-5
bho,walk,2sfca,rel,binary,60,4.3452083832056415e-4,4.7454251959180194e-5,6.743735495068195e-5,3.28811109503449e-5
bho,walk,2sfca,rel,gaussian,15,0.21902697196977614,0.025300355644555274,0.03391353739981045,0.016986890623902
bho,walk,2sfca,rel,gaussian,30,0.0015205260408063979,1.6974993883792918e-4,2.3599732941304927e-4,1.16828770108891e-4
bho,walk,2sfca,rel,gaussian,45,7.416988913687971e-4,8.256400634054226e-5,1.1518136177774626e-4,5.74042618633024e-5
